id,first_name,last_name,email,supplier_pid,credit_card_number,credit_card_type,order_id,product_pid,shipping_address,country,date_created,quantity,full_name,order_status
1,Austin,Humphries,ahumphries0@mac.com,7c835d2e-c277-4b99-8b15-677a3add5c04,4917352465154663,visa-electron,8312f459-98d0-4f7b-af08-f17c950d873b,d73e6795-99d3-42fb-a33c-cd0d5cd60e36,894 Declaration Park,Portugal,2022-06-24T10:45:52Z,91,Austin Humphries,0
2,Willi,Petheridge,wpetheridge1@comcast.net,ee865347-de3d-407e-8f1a-09c7d521c465,5415103981077514,mastercard,bab49985-3d52-4246-8562-329a6c9691be,2548655e-e856-4be4-8527-ae900c96f490,659 Waxwing Point,Albania,2023-01-16T02:21:20Z,40,Willi Petheridge,0
3,Rhodie,Wooland,rwooland2@bandcamp.com,2bc4304d-a37b-4682-9340-d7533e50a41b,4508190392407381,visa-electron,9e6acbec-dc69-4a59-bca0-05e9c8b39ae9,0b02dbc7-1468-4a0c-a084-0b4f56c63295,777 Hallows Alley,Ukraine,2022-06-14T00:21:50Z,2,Rhodie Wooland,1
4,Guillermo,Foltin,gfoltin3@jimdo.com,4aa5c87d-5953-4cc1-b0c5-2d3e20d32716,337941029566758,americanexpress,9f50c2a0-a738-45f6-a3bc-d9585a7d8231,bf202ebb-9d65-4970-9286-fd6640555a7f,35987 Forest Dale Terrace,Ukraine,2022-03-21T20:30:24Z,18,Guillermo Foltin,0
5,Waylin,Tirkin,wtirkin4@wordpress.com,25179591-f877-4405-9c65-f9c34ffbf26f,4041373470975958,visa,4425f2e5-9e61-4f42-927f-94899b03e345,f789704e-8f8a-4acb-98d0-328c0ed967fc,6 Cottonwood Junction,France,2022-03-15T06:17:39Z,86,Waylin Tirkin,0
6,Chelsy,Cadney,ccadney5@addtoany.com,10c97a5b-b542-4c36-9515-7fe59984d734,374622411417818,americanexpress,89561dc3-10c5-4c8c-b7ca-a26c3b63d293,90b23356-8ee5-40c7-9a8e-0162b25f908e,51 Maywood Lane,China,2022-02-23T01:03:27Z,23,Chelsy Cadney,2
7,Elliot,Dinjes,edinjes6@sitemeter.com,aa73748b-333a-4545-9abf-cf98de43c94e,4917475298061340,visa-electron,1e9394ac-06b3-4fb4-bbbc-7da3ca01b222,0af4b873-81b4-4f3a-b9b5-e9f5bcf624ad,18335 Autumn Leaf Circle,Russia,2022-07-18T07:38:15Z,32,Elliot Dinjes,2
8,Doro,Pidwell,dpidwell7@ebay.co.uk,753d95d8-629d-4b3d-b6b2-deb346c55f0b,4026071366892977,visa-electron,4ce1304b-361d-46ea-917b-b36fe3c1a333,7d8a8645-93da-46f3-b47e-a8ca1c649cba,45 Valley Edge Junction,Nepal,2022-08-22T16:20:05Z,47,Doro Pidwell,2
9,Niel,Le Franc,nlefranc8@mit.edu,2a1ed2bb-0101-4caf-b6d9-a2b0d03c0c27,4041599799957695,visa,81035b76-d7af-4392-9509-7668673abcf9,5609bcc9-8b29-4fbd-95c2-892192676366,94065 Schmedeman Avenue,China,2022-04-09T14:37:30Z,88,Niel Le Franc,1
10,Zitella,Purkiss,zpurkiss9@cpanel.net,2bc4304d-a37b-4682-9340-d7533e50a41b,372301528432877,americanexpress,e94d51f9-bd1b-43d0-9797-9cb0d587a0a0,6f3dde4c-8efc-47ef-ba83-077c5f18f37d,90984 Marcy Way,Russia,2022-05-19T21:35:30Z,72,Zitella Purkiss,2
